Sex,Fare,Ticket,Pclass,SibSp_sqrt,Survived
male,30.0,16988,1,0.0,1
male,78.85,19877,1,1.0,0
female,262.375,PC 17608,1,1.4142135,1
male,16.1,376566,3,1.0,0
male,7.925,STON/O 2. 3101288,3,0.0,1
male,71.0,WE/P 5735,1,1.0,0
male,20.25,C.A. 2673,3,1.0,0
female,13.0,250648,2,0.0,1
male,53.1,113773,1,1.0,0
male,7.75,335097,3,0.0,0
female,23.0,29103,2,1.0,1
male,12.475,392096,3,0.0,1
male,9.5,345780,3,0.0,0
male,7.8958,349204,3,0.0,0
female,65.0,220845,2,1.0,1
male,14.5,250649,2,1.0,1
male,7.7958,350042,3,0.0,0
male,11.5,29108,2,0.0,0
male,8.05,363294,3,0.0,0
female,86.5,110152,1,0.0,1
male,14.5,358585,3,0.0,0
male,7.125,SOTON/O2 3101272,3,0.0,0
male,7.2292,2663,3,0.0,1
female,120.0,113760,1,1.0,1
male,7.775,347074,3,0.0,0
female,77.9583,13502,1,1.0,1
male,39.6,112379,1,0.0,0
female,7.75,364850,3,0.0,0
male,24.15,371110,3,1.0,0
male,8.3625,8471,3,0.0,0
male,9.5,345781,3,0.0,0
male,7.8542,350047,3,0.0,0
female,10.5,S.O./P.P. 3,2,0.0,0
male,7.225,2674,3,0.0,0
female,23.0,29105,2,1.0,1
male,7.75,347078,3,0.0,0
male,7.75,383121,3,0.0,0
female,12.475,364516,3,0.0,1
male,7.7375,36865,3,0.0,0
female,211.3375,24160,1,0.0,1
female,7.2292,2687,3,0.0,1
female,57.0,17474,1,1.0,1
male,30.0,113501,1,0.0,0
male,23.45,W./C. 6607,3,1.0,0
male,7.05,SOTON/O.Q. 3101312,3,0.0,0
male,7.25,374887,3,0.0,0
female,7.4958,3101265,3,0.0,1
male,29.125,382652,3,2.0,0
male,20.575,C.A. 2315,3,1.0,1
male,79.2,PC 17593,1,0.0,0
male,7.75,12460,3,0.0,0
male,26.0,239865,2,0.0,0
female,69.55,CA. 2343,3,2.828427,0
male,30.6958,PC 17600,1,0.0,0
male,7.8958,349203,3,0.0,0
male,13.0,28213,2,0.0,0
female,25.9292,17465,1,0.0,1
female,8.6833,349244,3,0.0,1
male,7.2292,2685,3,0.0,0
female,24.15,345773,3,1.0,0
male,13.0,250647,2,0.0,0
female,26.25,C.A. 31921,2,1.0,1
male,120.0,113760,1,1.0,1
male,8.5167,2625,3,0.0,1
male,6.975,347089,3,0.0,1
male,7.775,347063,3,0.0,0
male,0.0,112050,1,0.0,0
female,7.775,347087,3,0.0,0
male,13.0,248723,2,0.0,0
female,53.1,113806,1,1.0,1
male,7.8875,3474,3,0.0,0
male,24.15,A/4 48871,3,0.0,0
male,10.5,28206,2,0.0,0
female,31.275,347082,3,2.0,0
male,8.05,364499,3,0.0,0
male,0.0,112058,1,0.0,0
female,7.925,STON/O2. 3101290,3,0.0,0
male,37.0042,S.C./PARIS 2079,2,1.0,0
male,6.45,C 7075,3,0.0,0
male,27.9,347088,3,1.7320508,0
female,93.5,12749,1,1.0,1
male,8.6625,315098,3,0.0,1
male,0.0,19972,1,0.0,0
female,12.475,392096,3,0.0,1
male,39.6875,3101295,3,2.0,0
male,6.95,368323,3,0.0,0
male,56.4958,1601,3,0.0,0
male,37.0042,S.C./PARIS 2079,2,0.0,1
male,7.75,367228,3,0.0,1
female,80.0,113572,1,0.0,1
female,14.4542,2659,3,1.0,1
male,18.75,29106,2,1.0,1
male,7.2292,2671,3,0.0,0
male,7.8542,347468,3,0.0,0
male,8.3,2223,3,0.0,0
female,83.1583,PC 17756,1,1.0,1
male,8.6625,315097,3,0.0,0
male,8.05,392092,3,0.0,0
male,56.4958,1601,3,0.0,1
male,29.7,11774,1,0.0,1
male,7.925,SOTON/O2 3101287,3,0.0,0
male,10.5,S.O./P.P. 3,2,0.0,0
female,31.0,113798,1,0.0,1
male,6.4375,2683,3,0.0,0
male,8.6625,315090,3,0.0,0
male,7.55,C.A. 5547,3,0.0,0
male,69.55,CA. 2343,3,2.828427,0
male,7.8958,349213,3,0.0,0
male,33.0,248727,2,0.0,0
female,89.1042,17453,1,1.0,1
male,31.275,347082,3,2.0,0
male,7.775,347060,3,0.0,0
female,15.2458,2678,3,1.0,0
female,39.4,PC 17592,1,0.0,1
female,26.0,244252,2,1.0,0
female,9.35,392091,3,0.0,1
female,164.8667,36928,1,1.0,1
male,26.55,113055,1,0.0,1
female,19.2583,2666,3,0.0,1
male,7.2292,2629,3,0.0,0
male,14.1083,350026,3,1.4142135,0
male,11.5,28134,2,1.0,0
female,25.9292,17466,1,0.0,1
female,69.55,CA. 2343,3,2.828427,0
male,13.0,233866,2,0.0,0
female,13.0,236852,2,0.0,1
female,13.8583,SC/PARIS 2149,2,1.0,1
male,50.4958,PC 17590,1,0.0,0
male,9.5,345777,3,0.0,0
male,11.1333,347742,3,1.0,1
male,7.8958,349248,3,0.0,0
female,52.5542,11751,1,1.0,1
male,5.0,695,1,0.0,0
male,9.0,345765,3,0.0,0
female,24.0,P/PP 3381,2,1.0,1
female,7.225,2667,3,0.0,1
male,9.8458,7534,3,0.0,0
male,7.8958,349212,3,0.0,0
male,7.8958,349217,3,0.0,0
female,83.1583,11767,1,0.0,1
female,26.0,230433,2,0.0,1
male,7.8958,349257,3,0.0,0
female,10.5167,7552,3,0.0,0
male,10.5,C.A./SOTON 34068,2,0.0,0
male,7.05,SOTON/OQ 392076,3,0.0,0
female,29.125,382652,3,0.0,0
male,13.0,211536,2,0.0,0
female,30.0,112053,1,0.0,1
female,23.45,W./C. 6607,3,1.0,0
male,30.0,111369,1,0.0,1
male,7.75,370376,3,0.0,0
