Ship Mode,Segment,City,State,Sub-Category,Sales,Quantity,Discount,Profit,Quantity_sqrt,Discount_sqrt,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West
Standard Class,Consumer,Saginaw,Michigan,Phones,131.98,2,0.0,35.6346,1.4142135,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,Saginaw,Michigan,Binders,15.92,4,0.0,7.4824,2.0,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,Saginaw,Michigan,Fasteners,52.29,9,0.0,16.2099,3.0,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,Saginaw,Michigan,Storage,91.99,1,0.0,3.6796,1.0,0.0,False,False,True,False,False,False,False,False
Second Class,Corporate,Dallas,Texas,Accessories,20.8,2,0.2,6.5,1.4142135,0.4472136,False,True,False,True,False,False,False,False
Standard Class,Corporate,Medina,Ohio,Labels,23.68,2,0.2,8.88,1.4142135,0.4472136,False,False,True,True,False,True,False,False
Standard Class,Corporate,Medina,Ohio,Bookcases,452.45,5,0.5,-244.323,2.236068,0.70710677,False,False,True,True,False,True,False,False
Standard Class,Corporate,Medina,Ohio,Phones,62.982,3,0.4,-14.6958,1.7320508,0.6324555,False,False,True,True,False,True,False,False
Standard Class,Corporate,Medina,Ohio,Machines,1188.0,9,0.7,-950.4,3.0,0.83666,False,False,True,True,False,True,False,False
Standard Class,Corporate,Medina,Ohio,Accessories,89.584,2,0.2,4.4792,1.4142135,0.4472136,False,False,True,True,False,True,False,False
Standard Class,Consumer,Los Angeles,California,Storage,93.06,6,0.0,26.0568,2.4494898,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Phones,302.376,3,0.2,22.6782,1.7320508,0.4472136,False,False,True,False,False,False,False,True
First Class,Consumer,Dublin,Ohio,Fasteners,5.584,2,0.2,1.8148,1.4142135,0.4472136,False,False,False,False,False,True,False,False
First Class,Consumer,Dublin,Ohio,Paper,22.704,6,0.2,8.2302,2.4494898,0.4472136,False,False,False,False,False,True,False,False
First Class,Consumer,Dublin,Ohio,Binders,19.776,4,0.7,-13.8432,2.0,0.83666,False,False,False,False,False,True,False,False
First Class,Consumer,Dublin,Ohio,Furnishings,72.704,4,0.2,19.0848,2.0,0.4472136,False,False,False,False,False,True,False,False
First Class,Consumer,Dublin,Ohio,Machines,479.988,4,0.7,-383.9904,2.0,0.83666,False,False,False,False,False,True,False,False
First Class,Consumer,Dublin,Ohio,Art,27.168,2,0.2,2.7168,1.4142135,0.4472136,False,False,False,False,False,True,False,False
Standard Class,Corporate,Detroit,Michigan,Art,2.2,1,0.0,0.968,1.0,0.0,False,False,True,True,False,False,False,False
Standard Class,Corporate,Detroit,Michigan,Tables,622.45,5,0.0,136.939,2.236068,0.0,False,False,True,True,False,False,False,False
Standard Class,Corporate,Detroit,Michigan,Storage,21.98,1,0.0,0.2198,1.0,0.0,False,False,True,True,False,False,False,False
Standard Class,Consumer,Columbia,Tennessee,Chairs,161.568,2,0.2,-28.2744,1.4142135,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Consumer,Columbia,Tennessee,Chairs,389.696,8,0.2,43.8408,2.828427,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Corporate,Charlotte,North Carolina,Binders,18.648,7,0.7,-12.432,2.6457512,0.83666,False,False,True,True,False,False,True,False
Standard Class,Home Office,Tampa,Florida,Tables,233.86,2,0.45,-102.048,1.4142135,0.6708204,False,False,True,False,True,False,True,False
Standard Class,Home Office,Tampa,Florida,Tables,620.6145,3,0.45,-248.2458,1.7320508,0.6708204,False,False,True,False,True,False,True,False
Standard Class,Home Office,Tampa,Florida,Binders,5.328,2,0.7,-3.552,1.4142135,0.83666,False,False,True,False,True,False,True,False
Standard Class,Home Office,Tampa,Florida,Furnishings,258.072,3,0.2,0.0,1.7320508,0.4472136,False,False,True,False,True,False,True,False
Standard Class,Home Office,Tampa,Florida,Accessories,617.976,3,0.2,-7.7247,1.7320508,0.4472136,False,False,True,False,True,False,True,False
Standard Class,Corporate,Santa Clara,California,Paper,10.56,2,0.0,4.752,1.4142135,0.0,False,False,True,True,False,False,False,True
Second Class,Consumer,Chicago,Illinois,Paper,25.92,5,0.2,9.396,2.236068,0.4472136,False,True,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Furnishings,419.68,5,0.6,-356.728,2.236068,0.7745967,False,True,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Furnishings,11.688,3,0.6,-4.6752,1.7320508,0.7745967,False,True,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Phones,31.984,2,0.2,11.1944,1.4142135,0.4472136,False,True,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Tables,177.225,5,0.5,-120.513,2.236068,0.70710677,False,True,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Furnishings,4.044,3,0.6,-2.8308,1.7320508,0.7745967,False,True,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Art,7.408,2,0.2,1.2038,1.4142135,0.4472136,False,True,False,False,False,False,False,False
Second Class,Home Office,Lakeville,Minnesota,Chairs,2001.86,7,0.0,580.5394,2.6457512,0.0,False,True,False,False,True,False,False,False
Second Class,Home Office,Lakeville,Minnesota,Storage,166.72,2,0.0,41.68,1.4142135,0.0,False,True,False,False,True,False,False,False
Second Class,Home Office,Lakeville,Minnesota,Paper,47.88,6,0.0,23.94,2.4494898,0.0,False,True,False,False,True,False,False,False
Second Class,Home Office,Lakeville,Minnesota,Appliances,1503.25,5,0.0,496.0725,2.236068,0.0,False,True,False,False,True,False,False,False
Second Class,Home Office,Lakeville,Minnesota,Paper,25.92,4,0.0,12.4416,2.0,0.0,False,True,False,False,True,False,False,False
Second Class,Consumer,San Francisco,California,Chairs,321.568,2,0.2,28.1372,1.4142135,0.4472136,False,True,False,False,False,False,False,True
Standard Class,Consumer,San Diego,California,Paper,7.61,1,0.0,3.5767,1.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Diego,California,Accessories,3347.37,13,0.0,636.0003,3.6055512,0.0,False,False,True,False,False,False,False,True
First Class,Consumer,New York City,New York,Storage,80.58,6,0.0,22.5624,2.4494898,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,New York City,New York,Envelopes,361.92,4,0.0,162.864,2.0,0.0,False,False,False,False,False,True,False,False
Standard Class,Corporate,Chicago,Illinois,Furnishings,12.132,9,0.6,-8.4924,3.0,0.7745967,False,False,True,True,False,False,False,False
Standard Class,Corporate,Chicago,Illinois,Storage,82.368,2,0.2,-19.5624,1.4142135,0.4472136,False,False,True,True,False,False,False,False
Standard Class,Corporate,Chicago,Illinois,Storage,53.92,5,0.2,4.044,2.236068,0.4472136,False,False,True,True,False,False,False,False
Standard Class,Corporate,Chicago,Illinois,Phones,647.904,6,0.2,56.6916,2.4494898,0.4472136,False,False,True,True,False,False,False,False
Second Class,Consumer,New York City,New York,Accessories,20.37,3,0.0,6.9258,1.7320508,0.0,False,True,False,False,False,True,False,False
Second Class,Consumer,New York City,New York,Storage,221.55,3,0.0,6.6465,1.7320508,0.0,False,True,False,False,False,True,False,False
Second Class,Consumer,New York City,New York,Binders,17.52,5,0.2,6.132,2.236068,0.4472136,False,True,False,False,False,True,False,False
Standard Class,Corporate,Pasadena,Texas,Appliances,1.624,2,0.8,-4.466,1.4142135,0.8944272,False,False,True,True,False,False,False,False
Second Class,Corporate,Houston,Texas,Machines,3059.982,3,0.4,-509.997,1.7320508,0.6324555,False,True,False,True,False,False,False,False
Second Class,Corporate,Houston,Texas,Machines,2519.958,7,0.4,-251.9958,2.6457512,0.6324555,False,True,False,True,False,False,False,False
Standard Class,Consumer,Chicago,Illinois,Phones,328.224,4,0.2,28.7196,2.0,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,Brentwood,California,Accessories,79.9,2,0.0,35.156,1.4142135,0.0,False,False,True,False,False,False,False,True
Standard Class,Corporate,Chapel Hill,North Carolina,Art,14.016,3,0.2,4.7304,1.7320508,0.4472136,False,False,True,True,False,False,True,False
Standard Class,Consumer,Morristown,New Jersey,Fasteners,7.56,6,0.0,0.3024,2.4494898,0.0,False,False,True,False,False,True,False,False
Standard Class,Corporate,Cincinnati,Ohio,Storage,37.208,1,0.2,-7.4416,1.0,0.4472136,False,False,True,True,False,True,False,False
Standard Class,Corporate,Cincinnati,Ohio,Envelopes,57.576,3,0.2,21.591,1.7320508,0.4472136,False,False,True,True,False,True,False,False
Second Class,Corporate,San Francisco,California,Storage,725.84,4,0.0,210.4936,2.0,0.0,False,True,False,True,False,False,False,True
First Class,Consumer,San Francisco,California,Accessories,209.93,7,0.0,92.3692,2.6457512,0.0,False,False,False,False,False,False,False,True
First Class,Consumer,San Francisco,California,Furnishings,5.28,3,0.0,2.3232,1.7320508,0.0,False,False,False,False,False,False,False,True
First Class,Consumer,San Francisco,California,Binders,10.92,3,0.2,4.095,1.7320508,0.4472136,False,False,False,False,False,False,False,True
First Class,Corporate,Inglewood,California,Paper,8.82,2,0.0,4.0572,1.4142135,0.0,False,False,False,True,False,False,False,True
First Class,Corporate,Inglewood,California,Art,5.98,1,0.0,1.5548,1.0,0.0,False,False,False,True,False,False,False,True
Standard Class,Corporate,Philadelphia,Pennsylvania,Paper,11.648,2,0.2,4.0768,1.4142135,0.4472136,False,False,True,True,False,True,False,False
Standard Class,Corporate,Philadelphia,Pennsylvania,Paper,18.176,4,0.2,5.9072,2.0,0.4472136,False,False,True,True,False,True,False,False
Standard Class,Corporate,Philadelphia,Pennsylvania,Storage,59.712,6,0.2,5.9712,2.4494898,0.4472136,False,False,True,True,False,True,False,False
Standard Class,Corporate,Philadelphia,Pennsylvania,Labels,24.84,3,0.2,8.694,1.7320508,0.4472136,False,False,True,True,False,True,False,False
Second Class,Consumer,Houston,Texas,Binders,2.08,5,0.8,-3.432,2.236068,0.8944272,False,True,False,False,False,False,False,False
Second Class,Consumer,Houston,Texas,Phones,1114.4,7,0.2,376.11,2.6457512,0.4472136,False,True,False,False,False,False,False,False
Standard Class,Consumer,Los Angeles,California,Tables,1038.84,5,0.2,51.942,2.236068,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Portland,Oregon,Paper,141.76,5,0.2,47.844,2.236068,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Portland,Oregon,Accessories,239.8,5,0.2,47.96,2.236068,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Portland,Oregon,Paper,31.104,6,0.2,10.8864,2.4494898,0.4472136,False,False,True,False,False,False,False,True
Second Class,Corporate,Tamarac,Florida,Binders,254.058,7,0.7,-169.372,2.6457512,0.83666,False,True,False,True,False,False,True,False
Second Class,Corporate,Tamarac,Florida,Appliances,194.528,2,0.2,24.316,1.4142135,0.4472136,False,True,False,True,False,False,True,False
Second Class,Corporate,Tamarac,Florida,Supplies,961.48,5,0.2,-204.3145,2.236068,0.4472136,False,True,False,True,False,False,True,False
Second Class,Home Office,Columbus,Ohio,Fasteners,19.096,7,0.2,6.6836,2.6457512,0.4472136,False,True,False,False,True,True,False,False
Second Class,Home Office,Columbus,Ohio,Labels,18.496,8,0.2,6.2424,2.828427,0.4472136,False,True,False,False,True,True,False,False
Second Class,Home Office,Columbus,Ohio,Accessories,255.984,2,0.2,54.3966,1.4142135,0.4472136,False,True,False,False,True,True,False,False
Second Class,Home Office,Columbus,Ohio,Bookcases,86.97,3,0.5,-48.7032,1.7320508,0.70710677,False,True,False,False,True,True,False,False
First Class,Corporate,Colorado Springs,Colorado,Furnishings,300.416,8,0.2,78.8592,2.828427,0.4472136,False,False,False,True,False,False,False,True
First Class,Corporate,Colorado Springs,Colorado,Chairs,230.352,3,0.2,20.1558,1.7320508,0.4472136,False,False,False,True,False,False,False,True
First Class,Corporate,Colorado Springs,Colorado,Furnishings,218.352,3,0.2,-24.5646,1.7320508,0.4472136,False,False,False,True,False,False,False,True
First Class,Corporate,Colorado Springs,Colorado,Binders,78.6,5,0.7,-62.88,2.236068,0.83666,False,False,False,True,False,False,False,True
First Class,Corporate,Colorado Springs,Colorado,Fasteners,27.552,3,0.2,9.2988,1.7320508,0.4472136,False,False,False,True,False,False,False,True
Standard Class,Corporate,Belleville,New Jersey,Paper,32.4,5,0.0,15.552,2.236068,0.0,False,False,True,True,False,True,False,False
Standard Class,Corporate,Belleville,New Jersey,Storage,1082.48,8,0.0,10.8248,2.828427,0.0,False,False,True,True,False,True,False,False
Standard Class,Corporate,Belleville,New Jersey,Paper,56.91,3,0.0,27.3168,1.7320508,0.0,False,False,True,True,False,True,False,False
Standard Class,Corporate,Belleville,New Jersey,Furnishings,77.6,4,0.0,38.024,2.0,0.0,False,False,True,True,False,True,False,False
Standard Class,Corporate,Belleville,New Jersey,Binders,14.28,1,0.0,6.5688,1.0,0.0,False,False,True,True,False,True,False,False
Standard Class,Consumer,Chicago,Illinois,Tables,219.075,3,0.5,-131.445,1.7320508,0.70710677,False,False,True,False,False,False,False,False
Second Class,Corporate,New York City,New York,Furnishings,26.8,2,0.0,12.864,1.4142135,0.0,False,True,False,True,False,True,False,False
Standard Class,Corporate,Taylor,Michigan,Art,9.84,3,0.0,2.8536,1.7320508,0.0,False,False,True,True,False,False,False,False
Standard Class,Home Office,Lakewood,New Jersey,Binders,45.48,3,0.0,20.9208,1.7320508,0.0,False,False,True,False,True,True,False,False
Standard Class,Home Office,Lakewood,New Jersey,Art,289.2,6,0.0,83.868,2.4494898,0.0,False,False,True,False,True,True,False,False
First Class,Consumer,Arlington,Virginia,Art,4.89,1,0.0,2.0049,1.0,0.0,False,False,False,False,False,False,True,False
Second Class,Corporate,Arvada,Colorado,Furnishings,15.136,4,0.2,3.5948,2.0,0.4472136,False,True,False,True,False,False,False,True
Second Class,Corporate,Arvada,Colorado,Chairs,466.768,2,0.2,52.5114,1.4142135,0.4472136,False,True,False,True,False,False,False,True
Second Class,Corporate,Arvada,Colorado,Furnishings,15.232,1,0.2,1.7136,1.0,0.4472136,False,True,False,True,False,False,False,True
Second Class,Corporate,Arvada,Colorado,Labels,6.264,3,0.2,2.0358,1.7320508,0.4472136,False,True,False,True,False,False,False,True
Standard Class,Corporate,Hackensack,New Jersey,Furnishings,87.54,3,0.0,37.6422,1.7320508,0.0,False,False,True,True,False,True,False,False
Standard Class,Corporate,Saint Petersburg,Florida,Phones,178.384,2,0.2,22.298,1.4142135,0.4472136,False,False,True,True,False,False,True,False
Standard Class,Corporate,Saint Petersburg,Florida,Paper,15.552,3,0.2,5.4432,1.7320508,0.4472136,False,False,True,True,False,False,True,False
First Class,Corporate,Philadelphia,Pennsylvania,Art,99.136,4,0.2,8.6744,2.0,0.4472136,False,False,False,True,False,True,False,False
Standard Class,Home Office,New York City,New York,Chairs,135.882,1,0.1,24.1568,1.0,0.31622776,False,False,True,False,True,True,False,False
Standard Class,Home Office,New York City,New York,Machines,3991.98,2,0.0,1995.99,1.4142135,0.0,False,False,True,False,True,True,False,False
Standard Class,Home Office,New York City,New York,Phones,275.94,6,0.0,80.0226,2.4494898,0.0,False,False,True,False,True,True,False,False
Standard Class,Home Office,New York City,New York,Accessories,360.0,4,0.0,129.6,2.0,0.0,False,False,True,False,True,True,False,False
Standard Class,Home Office,New York City,New York,Storage,43.57,1,0.0,13.071,1.0,0.0,False,False,True,False,True,True,False,False
Standard Class,Corporate,Long Beach,California,Fasteners,7.16,2,0.0,3.58,1.4142135,0.0,False,False,True,True,False,False,False,True
Standard Class,Corporate,Hesperia,California,Binders,251.52,6,0.2,81.744,2.4494898,0.4472136,False,False,True,True,False,False,False,True
Standard Class,Corporate,Hesperia,California,Accessories,99.99,1,0.0,34.9965,1.0,0.0,False,False,True,True,False,False,False,True
Second Class,Corporate,Murfreesboro,Tennessee,Furnishings,15.992,1,0.2,0.9995,1.0,0.4472136,False,True,False,True,False,False,True,False
First Class,Consumer,Philadelphia,Pennsylvania,Phones,290.898,3,0.4,-67.8762,1.7320508,0.6324555,False,False,False,False,False,True,False,False
First Class,Consumer,Philadelphia,Pennsylvania,Storage,54.224,2,0.2,3.389,1.4142135,0.4472136,False,False,False,False,False,True,False,False
First Class,Consumer,Philadelphia,Pennsylvania,Chairs,786.744,4,0.3,-258.5016,2.0,0.5477226,False,False,False,False,False,True,False,False
First Class,Consumer,Philadelphia,Pennsylvania,Labels,100.24,10,0.2,33.831,3.1622777,0.4472136,False,False,False,False,False,True,False,False
First Class,Consumer,Philadelphia,Pennsylvania,Binders,37.764,6,0.7,-27.6936,2.4494898,0.83666,False,False,False,False,False,True,False,False
Second Class,Consumer,Philadelphia,Pennsylvania,Phones,82.8,2,0.4,-20.7,1.4142135,0.6324555,False,True,False,False,False,True,False,False
Second Class,Consumer,Philadelphia,Pennsylvania,Binders,20.724,2,0.7,-13.816,1.4142135,0.83666,False,True,False,False,False,True,False,False
Second Class,Consumer,Philadelphia,Pennsylvania,Binders,4.896,3,0.7,-3.4272,1.7320508,0.83666,False,True,False,False,False,True,False,False
Second Class,Consumer,Los Angeles,California,Binders,4.752,1,0.2,1.6038,1.0,0.4472136,False,True,False,False,False,False,False,True
Second Class,Consumer,Los Angeles,California,Copiers,959.984,2,0.2,335.9944,1.4142135,0.4472136,False,True,False,False,False,False,False,True
Second Class,Consumer,Los Angeles,California,Binders,14.368,4,0.2,4.49,2.0,0.4472136,False,True,False,False,False,False,False,True
Standard Class,Corporate,San Francisco,California,Binders,7.712,2,0.2,2.7956,1.4142135,0.4472136,False,False,True,True,False,False,False,True
Standard Class,Corporate,San Francisco,California,Tables,698.352,3,0.2,-17.4588,1.7320508,0.4472136,False,False,True,True,False,False,False,True
Second Class,Consumer,Layton,Utah,Fasteners,4.96,4,0.0,2.3312,2.0,0.0,False,True,False,False,False,False,False,True
Second Class,Corporate,Philadelphia,Pennsylvania,Art,17.856,4,0.2,1.116,2.0,0.4472136,False,True,False,True,False,True,False,False
Second Class,Corporate,Philadelphia,Pennsylvania,Binders,509.97,10,0.7,-407.976,3.1622777,0.83666,False,True,False,True,False,True,False,False
Second Class,Corporate,Philadelphia,Pennsylvania,Fasteners,30.992,13,0.2,10.0724,3.6055512,0.4472136,False,True,False,True,False,True,False,False
Second Class,Corporate,Philadelphia,Pennsylvania,Phones,71.928,12,0.4,8.3916,3.4641016,0.6324555,False,True,False,True,False,True,False,False
Standard Class,Consumer,Austin,Texas,Storage,88.8,4,0.2,-2.22,2.0,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,San Francisco,California,Phones,47.976,3,0.2,4.7976,1.7320508,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Lowell,Massachusetts,Art,7.56,3,0.0,3.0996,1.7320508,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,Lowell,Massachusetts,Paper,24.56,2,0.0,11.5432,1.4142135,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,Lowell,Massachusetts,Art,12.96,2,0.0,4.1472,1.4142135,0.0,False,False,True,False,False,True,False,False
First Class,Home Office,New York City,New York,Accessories,6.79,1,0.0,2.3086,1.0,0.0,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Paper,24.56,2,0.0,11.5432,1.4142135,0.0,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Binders,3.048,1,0.2,1.0668,1.0,0.4472136,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Paper,49.12,4,0.0,23.0864,2.0,0.0,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Binders,4355.168,4,0.2,1415.4296,2.0,0.4472136,False,False,False,False,True,True,False,False
Standard Class,Consumer,New York City,New York,Bookcases,388.704,6,0.2,-4.8588,2.4494898,0.4472136,False,False,True,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Envelopes,8.26,2,0.0,3.7996,1.4142135,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Art,17.04,4,0.0,6.9864,2.0,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Paper,34.4,5,0.0,15.824,2.236068,0.0,False,False,True,False,False,True,False,False
Standard Class,Corporate,Charlotte,North Carolina,Paper,36.24,5,0.2,11.325,2.236068,0.4472136,False,False,True,True,False,False,True,False
First Class,Corporate,Columbus,Georgia,Appliances,647.84,8,0.0,168.4384,2.828427,0.0,False,False,False,True,False,False,True,False
First Class,Corporate,Columbus,Georgia,Labels,20.7,2,0.0,9.936,1.4142135,0.0,False,False,False,True,False,False,True,False
Standard Class,Consumer,New York City,New York,Labels,20.7,2,0.0,9.936,1.4142135,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Chairs,488.646,3,0.1,86.8704,1.7320508,0.31622776,False,False,True,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Art,5.56,2,0.0,1.4456,1.4142135,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Furnishings,47.12,8,0.0,20.7328,2.828427,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,San Francisco,California,Storage,211.96,4,0.0,8.4784,2.0,0.0,False,False,True,False,False,False,False,True
Same Day,Corporate,Manchester,Connecticut,Binders,23.2,4,0.0,10.44,2.0,0.0,True,False,False,True,False,True,False,False
Same Day,Corporate,Manchester,Connecticut,Supplies,7.36,2,0.0,0.1472,1.4142135,0.0,True,False,False,True,False,True,False,False
Same Day,Corporate,Manchester,Connecticut,Storage,104.79,7,0.0,29.3412,2.6457512,0.0,True,False,False,True,False,True,False,False
Same Day,Corporate,Manchester,Connecticut,Bookcases,1043.92,4,0.0,271.4192,2.0,0.0,True,False,False,True,False,True,False,False
Standard Class,Consumer,Harlingen,Texas,Paper,25.92,5,0.2,9.396,2.236068,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,Harlingen,Texas,Storage,53.424,3,0.2,4.6746,1.7320508,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,Tucson,Arizona,Binders,8.16,5,0.7,-5.712,2.236068,0.83666,False,False,True,False,False,False,False,True
Standard Class,Consumer,Tucson,Arizona,Accessories,1023.936,8,0.2,179.1888,2.828427,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Tucson,Arizona,Art,9.24,1,0.2,0.924,1.0,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Tucson,Arizona,Accessories,479.04,10,0.2,-29.94,3.1622777,0.4472136,False,False,True,False,False,False,False,True
First Class,Corporate,Quincy,Illinois,Paper,99.136,4,0.2,30.98,2.0,0.4472136,False,False,False,True,False,False,False,False
Standard Class,Corporate,Franklin,Massachusetts,Tables,1488.424,7,0.3,-297.6848,2.6457512,0.5477226,False,False,True,True,False,True,False,False
Standard Class,Consumer,Houston,Texas,Appliances,8.652,3,0.8,-20.3322,1.7320508,0.8944272,False,False,True,False,False,False,False,False
Standard Class,Consumer,Houston,Texas,Storage,23.832,3,0.2,2.6811,1.7320508,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,Houston,Texas,Binders,12.176,4,0.8,-18.8728,2.0,0.8944272,False,False,True,False,False,False,False,False
First Class,Corporate,San Francisco,California,Paper,50.96,7,0.0,25.48,2.6457512,0.0,False,False,False,True,False,False,False,True
First Class,Corporate,San Francisco,California,Binders,49.536,3,0.2,17.3376,1.7320508,0.4472136,False,False,False,True,False,False,False,True
Second Class,Corporate,Taylor,Michigan,Accessories,41.9,2,0.0,8.799,1.4142135,0.0,False,True,False,True,False,False,False,False
Standard Class,Consumer,Pembroke Pines,Florida,Tables,375.4575,3,0.45,-157.0095,1.7320508,0.6708204,False,False,True,False,False,False,True,False
Standard Class,Consumer,Pembroke Pines,Florida,Accessories,83.976,3,0.2,-1.0497,1.7320508,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Corporate,Philadelphia,Pennsylvania,Machines,482.34,4,0.7,-337.638,2.0,0.83666,False,False,True,True,False,True,False,False
Standard Class,Corporate,Philadelphia,Pennsylvania,Furnishings,2.96,1,0.2,0.777,1.0,0.4472136,False,False,True,True,False,True,False,False
First Class,Consumer,Cincinnati,Ohio,Art,2.624,1,0.2,0.4264,1.0,0.4472136,False,False,False,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Binders,23.36,4,0.2,7.884,2.0,0.4472136,False,False,True,False,False,True,False,False
Standard Class,Consumer,New York City,New York,Accessories,39.98,2,0.0,13.5932,1.4142135,0.0,False,False,True,False,False,True,False,False
Second Class,Consumer,Des Moines,Washington,Phones,246.384,2,0.2,27.7182,1.4142135,0.4472136,False,True,False,False,False,False,False,True
Second Class,Consumer,Des Moines,Washington,Copiers,1799.97,3,0.0,701.9883,1.7320508,0.0,False,True,False,False,False,False,False,True
Second Class,Corporate,Peoria,Illinois,Binders,12.462,3,0.8,-20.5623,1.7320508,0.8944272,False,True,False,True,False,False,False,False
Standard Class,Home Office,Las Vegas,Nevada,Binders,75.792,3,0.2,25.5798,1.7320508,0.4472136,False,False,True,False,True,False,False,True
Second Class,Corporate,Warwick,Rhode Island,Storage,49.96,2,0.0,9.4924,1.4142135,0.0,False,True,False,True,False,True,False,False
Second Class,Corporate,Warwick,Rhode Island,Paper,12.96,2,0.0,6.2208,1.4142135,0.0,False,True,False,True,False,True,False,False
Standard Class,Home Office,Jackson,Michigan,Supplies,70.12,4,0.0,21.036,2.0,0.0,False,False,True,False,True,False,False,False
Second Class,Consumer,Houston,Texas,Storage,35.952,3,0.2,3.5952,1.7320508,0.4472136,False,True,False,False,False,False,False,False
Second Class,Consumer,Houston,Texas,Bookcases,2396.2656,4,0.32,-317.1528,2.0,0.56568545,False,True,False,False,False,False,False,False
Second Class,Consumer,Houston,Texas,Storage,131.136,4,0.2,-32.784,2.0,0.4472136,False,True,False,False,False,False,False,False
Second Class,Consumer,Houston,Texas,Accessories,57.584,2,0.2,0.7198,1.4142135,0.4472136,False,True,False,False,False,False,False,False
First Class,Consumer,Miami,Florida,Paper,9.568,2,0.2,3.4684,1.4142135,0.4472136,False,False,False,False,False,False,True,False
Standard Class,Corporate,Wilmington,North Carolina,Art,39.072,6,0.2,9.768,2.4494898,0.4472136,False,False,True,True,False,False,True,False
Standard Class,Consumer,New York City,New York,Appliances,35.91,3,0.0,9.6957,1.7320508,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,San Francisco,California,Accessories,179.95,5,0.0,37.7895,2.236068,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Copiers,1199.976,3,0.2,434.9913,1.7320508,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Paper,27.15,5,0.0,13.3035,2.236068,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Tables,1004.024,7,0.2,-112.9527,2.6457512,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Paper,9.68,1,0.0,4.6464,1.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Labels,28.35,9,0.0,13.608,3.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Paper,55.98,1,0.0,27.4302,1.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Bookcases,1336.829,13,0.15,31.4548,3.6055512,0.38729835,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Chairs,113.568,2,0.2,-18.4548,1.4142135,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Corporate,Seattle,Washington,Paper,139.86,7,0.0,65.7342,2.6457512,0.0,False,False,True,True,False,False,False,True
Standard Class,Corporate,Seattle,Washington,Chairs,307.136,4,0.2,26.8744,2.0,0.4472136,False,False,True,True,False,False,False,True
