Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology
First Class,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,4,0.2,19.0848,False,False,True,False,False,False,False
First Class,Consumer,Dublin,Ohio,East,Technology,Machines,479.988,4,0.7,-383.9904,False,False,True,False,False,False,True
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.168,2,0.2,2.7168,False,False,True,False,False,True,False
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,1,0.0,0.968,True,False,False,False,False,True,False
Standard Class,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,5,0.0,136.939,True,False,False,False,False,False,False
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,1,0.0,0.2198,True,False,False,False,False,True,False
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.568,2,0.2,-28.2744,False,False,False,True,False,False,False
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.696,8,0.2,43.8408,False,False,False,True,False,False,False
Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.648,7,0.7,-12.432,True,False,False,True,False,True,False
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,2,0.45,-102.048,False,True,False,True,False,False,False
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,620.6145,3,0.45,-248.2458,False,True,False,True,False,False,False
Standard Class,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.328,2,0.7,-3.552,False,True,False,True,False,True,False
Standard Class,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,3,0.2,0.0,False,True,False,True,False,False,False
Standard Class,Home Office,Tampa,Florida,South,Technology,Accessories,617.976,3,0.2,-7.7247,False,True,False,True,False,False,True
Standard Class,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,2,0.0,4.752,True,False,False,False,True,True,False
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,5,0.2,9.396,False,False,False,False,False,True,False
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,5,0.6,-356.728,False,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752,False,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Central,Technology,Phones,31.984,2,0.2,11.1944,False,False,False,False,False,False,True
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.225,5,0.5,-120.513,False,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308,False,False,False,False,False,False,False
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Art,7.408,2,0.2,1.2038,False,False,False,False,False,True,False
Second Class,Home Office,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,0.0,580.5394,False,True,False,False,False,False,False
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,2,0.0,41.68,False,True,False,False,False,True,False
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,47.88,6,0.0,23.94,False,True,False,False,False,True,False
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Appliances,1503.25,5,0.0,496.0725,False,True,False,False,False,True,False
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,25.92,4,0.0,12.4416,False,True,False,False,False,True,False
Second Class,Consumer,San Francisco,California,West,Furniture,Chairs,321.568,2,0.2,28.1372,False,False,False,False,True,False,False
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,7.61,1,0.0,3.5767,False,False,False,False,True,True,False
Standard Class,Consumer,San Diego,California,West,Technology,Accessories,3347.37,13,0.0,636.0003,False,False,False,False,True,False,True
First Class,Consumer,New York City,New York,East,Office Supplies,Storage,80.58,6,0.0,22.5624,False,False,True,False,False,True,False
First Class,Consumer,New York City,New York,East,Office Supplies,Envelopes,361.92,4,0.0,162.864,False,False,True,False,False,True,False
Standard Class,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.132,9,0.6,-8.4924,True,False,False,False,False,False,False
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,82.368,2,0.2,-19.5624,True,False,False,False,False,True,False
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,53.92,5,0.2,4.044,True,False,False,False,False,True,False
Standard Class,Corporate,Chicago,Illinois,Central,Technology,Phones,647.904,6,0.2,56.6916,True,False,False,False,False,False,True
Second Class,Consumer,New York City,New York,East,Technology,Accessories,20.37,3,0.0,6.9258,False,False,True,False,False,False,True
Second Class,Consumer,New York City,New York,East,Office Supplies,Storage,221.55,3,0.0,6.6465,False,False,True,False,False,True,False
Second Class,Consumer,New York City,New York,East,Office Supplies,Binders,17.52,5,0.2,6.132,False,False,True,False,False,True,False
Standard Class,Corporate,Pasadena,Texas,Central,Office Supplies,Appliances,1.624,2,0.8,-4.466,True,False,False,False,False,True,False
Second Class,Corporate,Houston,Texas,Central,Technology,Machines,3059.982,3,0.4,-509.997,True,False,False,False,False,False,True
Second Class,Corporate,Houston,Texas,Central,Technology,Machines,2519.958,7,0.4,-251.9958,True,False,False,False,False,False,True
Standard Class,Consumer,Chicago,Illinois,Central,Technology,Phones,328.224,4,0.2,28.7196,False,False,False,False,False,False,True
Standard Class,Consumer,Brentwood,California,West,Technology,Accessories,79.9,2,0.0,35.156,False,False,False,False,True,False,True
Standard Class,Corporate,Chapel Hill,North Carolina,South,Office Supplies,Art,14.016,3,0.2,4.7304,True,False,False,True,False,True,False
Standard Class,Consumer,Morristown,New Jersey,East,Office Supplies,Fasteners,7.56,6,0.0,0.3024,False,False,True,False,False,True,False
Standard Class,Corporate,Cincinnati,Ohio,East,Office Supplies,Storage,37.208,1,0.2,-7.4416,True,False,True,False,False,True,False
Standard Class,Corporate,Cincinnati,Ohio,East,Office Supplies,Envelopes,57.576,3,0.2,21.591,True,False,True,False,False,True,False
Second Class,Corporate,San Francisco,California,West,Office Supplies,Storage,725.84,4,0.0,210.4936,True,False,False,False,True,True,False
First Class,Consumer,San Francisco,California,West,Technology,Accessories,209.93,7,0.0,92.3692,False,False,False,False,True,False,True
First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,5.28,3,0.0,2.3232,False,False,False,False,True,False,False
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,10.92,3,0.2,4.095,False,False,False,False,True,True,False
First Class,Corporate,Inglewood,California,West,Office Supplies,Paper,8.82,2,0.0,4.0572,True,False,False,False,True,True,False
First Class,Corporate,Inglewood,California,West,Office Supplies,Art,5.98,1,0.0,1.5548,True,False,False,False,True,True,False
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,11.648,2,0.2,4.0768,True,False,True,False,False,True,False
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,18.176,4,0.2,5.9072,True,False,True,False,False,True,False
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,59.712,6,0.2,5.9712,True,False,True,False,False,True,False
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Labels,24.84,3,0.2,8.694,True,False,True,False,False,True,False
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,2.08,5,0.8,-3.432,False,False,False,False,False,True,False
Second Class,Consumer,Houston,Texas,Central,Technology,Phones,1114.4,7,0.2,376.11,False,False,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1038.84,5,0.2,51.942,False,False,False,False,True,False,False
Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Paper,141.76,5,0.2,47.844,False,False,False,False,True,True,False
Standard Class,Consumer,Portland,Oregon,West,Technology,Accessories,239.8,5,0.2,47.96,False,False,False,False,True,False,True
Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Paper,31.104,6,0.2,10.8864,False,False,False,False,True,True,False
Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Binders,254.058,7,0.7,-169.372,True,False,False,True,False,True,False
Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Appliances,194.528,2,0.2,24.316,True,False,False,True,False,True,False
Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Supplies,961.48,5,0.2,-204.3145,True,False,False,True,False,True,False
Second Class,Home Office,Columbus,Ohio,East,Office Supplies,Fasteners,19.096,7,0.2,6.6836,False,True,True,False,False,True,False
Second Class,Home Office,Columbus,Ohio,East,Office Supplies,Labels,18.496,8,0.2,6.2424,False,True,True,False,False,True,False
Second Class,Home Office,Columbus,Ohio,East,Technology,Accessories,255.984,2,0.2,54.3966,False,True,True,False,False,False,True
Second Class,Home Office,Columbus,Ohio,East,Furniture,Bookcases,86.97,3,0.5,-48.7032,False,True,True,False,False,False,False
First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,300.416,8,0.2,78.8592,True,False,False,False,True,False,False
First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Chairs,230.352,3,0.2,20.1558,True,False,False,False,True,False,False
First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,218.352,3,0.2,-24.5646,True,False,False,False,True,False,False
First Class,Corporate,Colorado Springs,Colorado,West,Office Supplies,Binders,78.6,5,0.7,-62.88,True,False,False,False,True,True,False
First Class,Corporate,Colorado Springs,Colorado,West,Office Supplies,Fasteners,27.552,3,0.2,9.2988,True,False,False,False,True,True,False
Standard Class,Corporate,Belleville,New Jersey,East,Office Supplies,Paper,32.4,5,0.0,15.552,True,False,True,False,False,True,False
Standard Class,Corporate,Belleville,New Jersey,East,Office Supplies,Storage,1082.48,8,0.0,10.8248,True,False,True,False,False,True,False
Standard Class,Corporate,Belleville,New Jersey,East,Office Supplies,Paper,56.91,3,0.0,27.3168,True,False,True,False,False,True,False
Standard Class,Corporate,Belleville,New Jersey,East,Furniture,Furnishings,77.6,4,0.0,38.024,True,False,True,False,False,False,False
Standard Class,Corporate,Belleville,New Jersey,East,Office Supplies,Binders,14.28,1,0.0,6.5688,True,False,True,False,False,True,False
Standard Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,219.075,3,0.5,-131.445,False,False,False,False,False,False,False
Second Class,Corporate,New York City,New York,East,Furniture,Furnishings,26.8,2,0.0,12.864,True,False,True,False,False,False,False
Standard Class,Corporate,Taylor,Michigan,Central,Office Supplies,Art,9.84,3,0.0,2.8536,True,False,False,False,False,True,False
Standard Class,Home Office,Lakewood,New Jersey,East,Office Supplies,Binders,45.48,3,0.0,20.9208,False,True,True,False,False,True,False
Standard Class,Home Office,Lakewood,New Jersey,East,Office Supplies,Art,289.2,6,0.0,83.868,False,True,True,False,False,True,False
First Class,Consumer,Arlington,Virginia,South,Office Supplies,Art,4.89,1,0.0,2.0049,False,False,False,True,False,True,False
Second Class,Corporate,Arvada,Colorado,West,Furniture,Furnishings,15.136,4,0.2,3.5948,True,False,False,False,True,False,False
Second Class,Corporate,Arvada,Colorado,West,Furniture,Chairs,466.768,2,0.2,52.5114,True,False,False,False,True,False,False
Second Class,Corporate,Arvada,Colorado,West,Furniture,Furnishings,15.232,1,0.2,1.7136,True,False,False,False,True,False,False
Second Class,Corporate,Arvada,Colorado,West,Office Supplies,Labels,6.264,3,0.2,2.0358,True,False,False,False,True,True,False
Standard Class,Corporate,Hackensack,New Jersey,East,Furniture,Furnishings,87.54,3,0.0,37.6422,True,False,True,False,False,False,False
Standard Class,Corporate,Saint Petersburg,Florida,South,Technology,Phones,178.384,2,0.2,22.298,True,False,False,True,False,False,True
Standard Class,Corporate,Saint Petersburg,Florida,South,Office Supplies,Paper,15.552,3,0.2,5.4432,True,False,False,True,False,True,False
First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,99.136,4,0.2,8.6744,True,False,True,False,False,True,False
Standard Class,Home Office,New York City,New York,East,Furniture,Chairs,135.882,1,0.1,24.1568,False,True,True,False,False,False,False
Standard Class,Home Office,New York City,New York,East,Technology,Machines,3991.98,2,0.0,1995.99,False,True,True,False,False,False,True
Standard Class,Home Office,New York City,New York,East,Technology,Phones,275.94,6,0.0,80.0226,False,True,True,False,False,False,True
Standard Class,Home Office,New York City,New York,East,Technology,Accessories,360.0,4,0.0,129.6,False,True,True,False,False,False,True
Standard Class,Home Office,New York City,New York,East,Office Supplies,Storage,43.57,1,0.0,13.071,False,True,True,False,False,True,False
Standard Class,Corporate,Long Beach,California,West,Office Supplies,Fasteners,7.16,2,0.0,3.58,True,False,False,False,True,True,False
Standard Class,Corporate,Hesperia,California,West,Office Supplies,Binders,251.52,6,0.2,81.744,True,False,False,False,True,True,False
Standard Class,Corporate,Hesperia,California,West,Technology,Accessories,99.99,1,0.0,34.9965,True,False,False,False,True,False,True
Second Class,Corporate,Murfreesboro,Tennessee,South,Furniture,Furnishings,15.992,1,0.2,0.9995,True,False,False,True,False,False,False
First Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,290.898,3,0.4,-67.8762,False,False,True,False,False,False,True
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,54.224,2,0.2,3.389,False,False,True,False,False,True,False
First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,786.744,4,0.3,-258.5016,False,False,True,False,False,False,False
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,100.24,10,0.2,33.831,False,False,True,False,False,True,False
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,37.764,6,0.7,-27.6936,False,False,True,False,False,True,False
Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,82.8,2,0.4,-20.7,False,False,True,False,False,False,True
Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,20.724,2,0.7,-13.816,False,False,True,False,False,True,False
Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,4.896,3,0.7,-3.4272,False,False,True,False,False,True,False
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,4.752,1,0.2,1.6038,False,False,False,False,True,True,False
Second Class,Consumer,Los Angeles,California,West,Technology,Copiers,959.984,2,0.2,335.9944,False,False,False,False,True,False,True
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,14.368,4,0.2,4.49,False,False,False,False,True,True,False
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Binders,7.712,2,0.2,2.7956,True,False,False,False,True,True,False
Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,698.352,3,0.2,-17.4588,True,False,False,False,True,False,False
Second Class,Consumer,Layton,Utah,West,Office Supplies,Fasteners,4.96,4,0.0,2.3312,False,False,False,False,True,True,False
Second Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,17.856,4,0.2,1.116,True,False,True,False,False,True,False
Second Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,509.97,10,0.7,-407.976,True,False,True,False,False,True,False
Second Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,30.992,13,0.2,10.0724,True,False,True,False,False,True,False
Second Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Phones,71.928,12,0.4,8.3916,True,False,True,False,False,False,True
Standard Class,Consumer,Austin,Texas,Central,Office Supplies,Storage,88.8,4,0.2,-2.22,False,False,False,False,False,True,False
Standard Class,Consumer,San Francisco,California,West,Technology,Phones,47.976,3,0.2,4.7976,False,False,False,False,True,False,True
Standard Class,Consumer,Lowell,Massachusetts,East,Office Supplies,Art,7.56,3,0.0,3.0996,False,False,True,False,False,True,False
Standard Class,Consumer,Lowell,Massachusetts,East,Office Supplies,Paper,24.56,2,0.0,11.5432,False,False,True,False,False,True,False
Standard Class,Consumer,Lowell,Massachusetts,East,Office Supplies,Art,12.96,2,0.0,4.1472,False,False,True,False,False,True,False
First Class,Home Office,New York City,New York,East,Technology,Accessories,6.79,1,0.0,2.3086,False,True,True,False,False,False,True
First Class,Home Office,New York City,New York,East,Office Supplies,Paper,24.56,2,0.0,11.5432,False,True,True,False,False,True,False
First Class,Home Office,New York City,New York,East,Office Supplies,Binders,3.048,1,0.2,1.0668,False,True,True,False,False,True,False
First Class,Home Office,New York City,New York,East,Office Supplies,Paper,49.12,4,0.0,23.0864,False,True,True,False,False,True,False
First Class,Home Office,New York City,New York,East,Office Supplies,Binders,4355.168,4,0.2,1415.4296,False,True,True,False,False,True,False
Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,388.704,6,0.2,-4.8588,False,False,True,False,False,False,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Envelopes,8.26,2,0.0,3.7996,False,False,True,False,False,True,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Art,17.04,4,0.0,6.9864,False,False,True,False,False,True,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,34.4,5,0.0,15.824,False,False,True,False,False,True,False
Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,Paper,36.24,5,0.2,11.325,True,False,False,True,False,True,False
First Class,Corporate,Columbus,Georgia,South,Office Supplies,Appliances,647.84,8,0.0,168.4384,True,False,False,True,False,True,False
First Class,Corporate,Columbus,Georgia,South,Office Supplies,Labels,20.7,2,0.0,9.936,True,False,False,True,False,True,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Labels,20.7,2,0.0,9.936,False,False,True,False,False,True,False
Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,488.646,3,0.1,86.8704,False,False,True,False,False,False,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Art,5.56,2,0.0,1.4456,False,False,True,False,False,True,False
Standard Class,Consumer,New York City,New York,East,Furniture,Furnishings,47.12,8,0.0,20.7328,False,False,True,False,False,False,False
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,211.96,4,0.0,8.4784,False,False,False,False,True,True,False
Same Day,Corporate,Manchester,Connecticut,East,Office Supplies,Binders,23.2,4,0.0,10.44,True,False,True,False,False,True,False
Same Day,Corporate,Manchester,Connecticut,East,Office Supplies,Supplies,7.36,2,0.0,0.1472,True,False,True,False,False,True,False
Same Day,Corporate,Manchester,Connecticut,East,Office Supplies,Storage,104.79,7,0.0,29.3412,True,False,True,False,False,True,False
Same Day,Corporate,Manchester,Connecticut,East,Furniture,Bookcases,1043.92,4,0.0,271.4192,True,False,True,False,False,False,False
Standard Class,Consumer,Harlingen,Texas,Central,Office Supplies,Paper,25.92,5,0.2,9.396,False,False,False,False,False,True,False
Standard Class,Consumer,Harlingen,Texas,Central,Office Supplies,Storage,53.424,3,0.2,4.6746,False,False,False,False,False,True,False
Standard Class,Consumer,Tucson,Arizona,West,Office Supplies,Binders,8.16,5,0.7,-5.712,False,False,False,False,True,True,False
Standard Class,Consumer,Tucson,Arizona,West,Technology,Accessories,1023.936,8,0.2,179.1888,False,False,False,False,True,False,True
Standard Class,Consumer,Tucson,Arizona,West,Office Supplies,Art,9.24,1,0.2,0.924,False,False,False,False,True,True,False
Standard Class,Consumer,Tucson,Arizona,West,Technology,Accessories,479.04,10,0.2,-29.94,False,False,False,False,True,False,True
First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Paper,99.136,4,0.2,30.98,True,False,False,False,False,True,False
Standard Class,Corporate,Franklin,Massachusetts,East,Furniture,Tables,1488.424,7,0.3,-297.6848,True,False,True,False,False,False,False
Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,8.652,3,0.8,-20.3322,False,False,False,False,False,True,False
Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,23.832,3,0.2,2.6811,False,False,False,False,False,True,False
Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,12.176,4,0.8,-18.8728,False,False,False,False,False,True,False
First Class,Corporate,San Francisco,California,West,Office Supplies,Paper,50.96,7,0.0,25.48,True,False,False,False,True,True,False
First Class,Corporate,San Francisco,California,West,Office Supplies,Binders,49.536,3,0.2,17.3376,True,False,False,False,True,True,False
Second Class,Corporate,Taylor,Michigan,Central,Technology,Accessories,41.9,2,0.0,8.799,True,False,False,False,False,False,True
Standard Class,Consumer,Pembroke Pines,Florida,South,Furniture,Tables,375.4575,3,0.45,-157.0095,False,False,False,True,False,False,False
Standard Class,Consumer,Pembroke Pines,Florida,South,Technology,Accessories,83.976,3,0.2,-1.0497,False,False,False,True,False,False,True
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Machines,482.34,4,0.7,-337.638,True,False,True,False,False,False,True
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,2.96,1,0.2,0.777,True,False,True,False,False,False,False
First Class,Consumer,Cincinnati,Ohio,East,Office Supplies,Art,2.624,1,0.2,0.4264,False,False,True,False,False,True,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,23.36,4,0.2,7.884,False,False,True,False,False,True,False
Standard Class,Consumer,New York City,New York,East,Technology,Accessories,39.98,2,0.0,13.5932,False,False,True,False,False,False,True
Second Class,Consumer,Des Moines,Washington,West,Technology,Phones,246.384,2,0.2,27.7182,False,False,False,False,True,False,True
Second Class,Consumer,Des Moines,Washington,West,Technology,Copiers,1799.97,3,0.0,701.9883,False,False,False,False,True,False,True
Second Class,Corporate,Peoria,Illinois,Central,Office Supplies,Binders,12.462,3,0.8,-20.5623,True,False,False,False,False,True,False
Standard Class,Home Office,Las Vegas,Nevada,West,Office Supplies,Binders,75.792,3,0.2,25.5798,False,True,False,False,True,True,False
Second Class,Corporate,Warwick,Rhode Island,East,Office Supplies,Storage,49.96,2,0.0,9.4924,True,False,True,False,False,True,False
Second Class,Corporate,Warwick,Rhode Island,East,Office Supplies,Paper,12.96,2,0.0,6.2208,True,False,True,False,False,True,False
Standard Class,Home Office,Jackson,Michigan,Central,Office Supplies,Supplies,70.12,4,0.0,21.036,False,True,False,False,False,True,False
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,35.952,3,0.2,3.5952,False,False,False,False,False,True,False
Second Class,Consumer,Houston,Texas,Central,Furniture,Bookcases,2396.2656,4,0.32,-317.1528,False,False,False,False,False,False,False
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,131.136,4,0.2,-32.784,False,False,False,False,False,True,False
Second Class,Consumer,Houston,Texas,Central,Technology,Accessories,57.584,2,0.2,0.7198,False,False,False,False,False,False,True
First Class,Consumer,Miami,Florida,South,Office Supplies,Paper,9.568,2,0.2,3.4684,False,False,False,True,False,True,False
Standard Class,Corporate,Wilmington,North Carolina,South,Office Supplies,Art,39.072,6,0.2,9.768,True,False,False,True,False,True,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Appliances,35.91,3,0.0,9.6957,False,False,True,False,False,True,False
Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,179.95,5,0.0,37.7895,False,False,False,False,True,False,True
Standard Class,Consumer,San Francisco,California,West,Technology,Copiers,1199.976,3,0.2,434.9913,False,False,False,False,True,False,True
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,27.15,5,0.0,13.3035,False,False,False,False,True,True,False
Standard Class,Consumer,San Francisco,California,West,Furniture,Tables,1004.024,7,0.2,-112.9527,False,False,False,False,True,False,False
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,9.68,1,0.0,4.6464,False,False,False,False,True,True,False
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Labels,28.35,9,0.0,13.608,False,False,False,False,True,True,False
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,55.98,1,0.0,27.4302,False,False,False,False,True,True,False
Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,1336.829,13,0.15,31.4548,False,False,False,False,True,False,False
Standard Class,Consumer,San Francisco,California,West,Furniture,Chairs,113.568,2,0.2,-18.4548,False,False,False,False,True,False,False
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,139.86,7,0.0,65.7342,True,False,False,False,True,True,False
Standard Class,Corporate,Seattle,Washington,West,Furniture,Chairs,307.136,4,0.2,26.8744,True,False,False,False,True,False,False
Standard Class,Consumer,Huntington Beach,California,West,Office Supplies,Art,95.92,8,0.0,25.8984,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,383.8,5,0.2,38.38,False,False,False,False,True,False,False
Standard Class,Corporate,Richmond,Kentucky,South,Office Supplies,Paper,5.78,1,0.0,2.8322,True,False,False,True,False,True,False
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,9.32,4,0.0,2.7028,True,False,False,False,True,True,False
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Envelopes,15.25,1,0.0,7.015,True,False,False,False,True,True,False
First Class,Consumer,Louisville,Colorado,West,Technology,Accessories,196.752,6,0.2,56.5662,False,False,False,False,True,False,True
Standard Class,Corporate,Lawrence,Massachusetts,East,Furniture,Furnishings,56.56,4,0.0,14.7056,True,False,True,False,False,False,False
Standard Class,Corporate,Lawrence,Massachusetts,East,Office Supplies,Storage,32.7,3,0.0,8.502,True,False,True,False,False,True,False
Second Class,Consumer,Jackson,Mississippi,South,Furniture,Chairs,866.4,4,0.0,225.264,False,False,False,True,False,False,False
Second Class,Corporate,Canton,Michigan,Central,Furniture,Furnishings,28.4,2,0.0,11.076,True,False,False,False,False,False,False
Second Class,Corporate,Canton,Michigan,Central,Office Supplies,Binders,287.92,8,0.0,138.2016,True,False,False,False,False,True,False
First Class,Home Office,New Rochelle,New York,East,Technology,Machines,69.99,1,0.0,30.0957,False,True,True,False,False,False,True
Standard Class,Corporate,San Antonio,Texas,Central,Office Supplies,Art,6.672,6,0.2,0.5004,True,False,False,False,False,True,False
Standard Class,Home Office,Gastonia,North Carolina,South,Office Supplies,Binders,189.588,2,0.7,-145.3508,False,True,False,True,False,True,False
Standard Class,Home Office,Gastonia,North Carolina,South,Technology,Accessories,408.744,7,0.2,76.6395,False,True,False,True,False,False,True
Standard Class,Home Office,Gastonia,North Carolina,South,Technology,Accessories,291.96,5,0.2,54.7425,False,True,False,True,False,False,True
Standard Class,Home Office,Gastonia,North Carolina,South,Office Supplies,Storage,4.768,2,0.2,-0.7748,False,True,False,True,False,True,False
First Class,Consumer,Lowell,Massachusetts,East,Office Supplies,Storage,714.3,5,0.0,207.147,False,False,True,False,False,True,False
Standard Class,Consumer,Jacksonville,Florida,South,Office Supplies,Binders,4.812,2,0.7,-3.6892,False,False,False,True,False,True,False
Standard Class,Consumer,Jacksonville,Florida,South,Technology,Accessories,247.8,5,0.2,-18.585,False,False,False,True,False,False,True
Second Class,Home Office,Chicago,Illinois,Central,Technology,Machines,1007.979,3,0.3,43.1991,False,True,False,False,False,False,True
Second Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,313.488,7,0.2,113.6394,False,True,False,False,False,True,False
Standard Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,31.872,8,0.2,11.5536,True,False,False,False,False,True,False
Second Class,Corporate,New York City,New York,East,Furniture,Chairs,207.846,3,0.1,2.3094,True,False,True,False,False,False,False
Second Class,Consumer,Detroit,Michigan,Central,Furniture,Furnishings,12.22,1,0.0,3.666,False,False,False,False,False,False,False
Second Class,Consumer,Detroit,Michigan,Central,Office Supplies,Storage,194.94,3,0.0,23.3928,False,False,False,False,False,True,False
Second Class,Consumer,Detroit,Michigan,Central,Office Supplies,Storage,70.95,3,0.0,20.5755,False,False,False,False,False,True,False
Second Class,Consumer,Detroit,Michigan,Central,Office Supplies,Paper,91.36,4,0.0,42.0256,False,False,False,False,False,True,False
Second Class,Consumer,Detroit,Michigan,Central,Furniture,Chairs,242.94,3,0.0,29.1528,False,False,False,False,False,False,False
Second Class,Consumer,Detroit,Michigan,Central,Office Supplies,Labels,22.05,7,0.0,10.584,False,False,False,False,False,True,False
